customer_reference,locale_name,phone,email,salutation,first_name,last_name,company,gender,date_of_birth,password,registered
DE--3,de_DE,,maggie.may@spryker.com,Ms,Maggie,May,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--4,de_DE,,bill.martin@spryker.com,Mr,Bill,Martin,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--5,de_DE,,george.freeman@spryker.com,Mr,George,Freeman,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--6,de_DE,,henry.tudor@spryker.com,Mr,Henry,Tudor,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--7,de_DE,,anne.boleyn@spryker.com,Ms,Anne,Boleyn,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--8,de_DE,495-123-45-67,andrew@ottom.de,Mr,Andrew,Wedner,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--9,de_DE,495-123-45-68,Ahill@ottom.de,Mr,Ahill,Grant,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--10,de_DE,495-123-45-69,Alexa@ottom.de,Ms,Alexa,Simons,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--11,de_DE,495-123-45-70,Frida@ottom.de,Ms,Frida,Grott,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--12,de_DE,495-123-45-71,Lisa@ottom.de,Ms,Lisa,Pauls,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--13,de_DE,495-123-45-72,Kim@ottom.de,Mr,Kim,Gyeong-min,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--30,de_DE,495-123-45-72,Lilu@ottom.de,Ms,Lilu,Dallas,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--32,de_DE,495-123-45-72,sally@ottom.de,Ms,Sally,Koval,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
DE--34,de_DE,495-333-45-72,emma@spryker.com,Ms,Emma,Schmidt,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
